date,consumer_exit_flow_kwh,interconnection_exit_flow_kwh,storage_exit_flow_kwh,total_exit_flow_kwh,storage_twh,agsi_consumption_gwh,injection_gwh,withdrawal_gwh,storage_pct_full,temperature_2m_mean,temperature_2m_min,temperature_2m_max,hdd,demand_gwh,total_system_offtake_gwh,storage_exit_gwh,interconnection_exit_gwh,stl_trend,stl_seasonal,stl_resid
2025-05-28,376520333.03,1299879324.23,664248372.847,2340648030.107,96.5497,903.9,554.39,20.0,39.04,14.295833,10.3,18.15,3.7041674,376.52033302999996,2340.648030107,664.248372847,1299.87932423,461.51371146411157,-59.11371020027358,-25.879668233838004
2025-05-29,313481408.61,1243976582.33,917353848.84,2474811839.78,97.3378,903.9,807.14,25.1,39.36,18.270834,13.2,23.25,0.0,313.48140861,2474.8118397800004,917.3538488400001,1243.97658233,461.5919756679899,-59.86080636216805,-88.24976069582186
2025-05-30,324757966.01,1270431534.83,989312525.159,2584502025.999,98.2974,903.9,968.93,7.2,39.75,19.729166,14.5,24.3,0.0,324.75796601,2584.502025999,989.3125251590001,1270.43153483,461.6706810758109,-105.54052530543137,-31.372189760379456
2025-05-31,340384693.43,1202774221.83,1351961530.64,2895120445.9,99.5504,903.9,1277.03,28.6,40.26,20.547916,16.25,27.3,0.0,340.38469343,2895.1204459,1351.96153064,1202.77422183,461.7498274866083,-91.9702896443656,-29.394844412242662
2025-06-01,331432156.85,1191991593.12,1362783063.637,2886206813.607,101.7025,903.9,2030.15,27.1,41.12,18.275002,14.0,21.6,0.0,331.43215685,2886.2068136069997,1362.7830636370002,1191.9915931199998,461.8294142945049,-78.65865098063814,-51.738606463866745
2025-06-02,417331510.31,1117530831.5,872621741.175,2407484082.9849997,102.3512,903.9,677.19,30.2,41.38,19.050001,12.45,25.85,0.0,417.33151031,2407.4840829849995,872.6217411749999,1117.5308315,461.9094410186644,-72.16104300496264,27.583112296298225
2025-06-03,353823115.65999997,1061180090.23,697205578.682,2112208784.572,102.9232,903.9,638.93,66.6,41.61,20.702082,15.6,27.7,0.0,353.82311566,2112.2087845720002,697.205578682,1061.1800902300001,461.9899075972216,-125.54499812557712,17.378206188355534
2025-06-04,347447639.94,1100781342.49,799071769.067,2247300751.497,103.7107,903.9,724.54,37.1,41.93,19.33125,15.75,22.25,0.0,347.44763994,2247.3007514970004,799.071769067,1100.78134249,462.07081416182723,-100.2966937231063,-14.326480498720912
2025-06-05,336654725.3,897285312.8199999,653997339.127,1887937377.2469995,104.0763,903.9,418.16,55.3,42.08,18.377085,14.6,21.95,0.0,336.6547253,1887.9373772469994,653.9973391269999,897.28531282,462.1521611438686,-101.01218951636206,-24.48524632750656
2025-06-06,334668154.86,1102657171.22,1057353231.839,2494678557.9189997,104.9758,903.9,914.08,7.2,42.44,17.670834,14.2,22.45,0.3291664,334.66815486,2494.6785579189996,1057.353231839,1102.65717122,462.23394913144966,-117.34341738093498,-10.222376890514681
2025-06-07,308473738.33000004,1153576908.76,1422007964.752,2884058611.842,106.133,903.9,1134.88,3.2,42.91,15.65625,12.0,19.7,2.34375,308.47373833000006,2884.058611842,1422.0079647520001,1153.57690876,462.31617813871145,-118.66987071125713,-35.17256909745424
2025-06-08,296005951.95,1156580893.03,1349161757.547,2801748602.527,107.2085,903.9,1083.88,5.5,43.34,13.752082,10.35,17.75,4.247918,296.00595195,2801.748602527,1349.161757547,1156.58089303,462.3988477198332,-81.46035784115804,-84.93253792867517
2025-06-09,304278676.89,1240005475.79,1192623141.587,2736907294.2669997,108.1419,903.9,928.59,3.9,43.72,14.670834,11.15,17.95,3.3291664,304.27867689,2736.9072942669995,1192.623141587,1240.00547579,462.4819575357968,-131.2062323802847,-26.99704826551215
